"id","interviewdate","comscore_raw","comscore","pop_groups","Quintile","type","lat","lon","living_conditions_score","living_conditions_category"
1285,"2023-12-12",-0.0416929956984205,6.53274882279216,"IDPs","Poorest","rms",10.431509,32.2598436,1,"Poor"
1286,"2023-12-11",-0.0418948135431255,6.44806310784339,"IDPs","Poorest","rms",10.5793159,32.1351721,3,"Good"
1287,"2023-12-11",-0.0184042535518833,16.3050451319718,"IDPs","Second","rms",10.5776174,32.1373818,3,"Good"
1288,"2023-12-11",-0.00695985700266675,21.1072810558783,"IDPs","Middle","rms",10.5804013,32.1359625,3,"Good"
1289,"2023-12-11",-0.0418948135431255,6.44806310784339,"IDPs","Poorest","rms",10.5794386,32.1353923,3,"Good"
1290,"2023-12-11",-0.0101672229821664,19.7614234510994,"IDPs","Middle","rms",10.5772811,32.1369624,2,"Good"
1291,"2023-12-11",0.00127717356705017,24.5636593750059,"IDPs","Fourth","rms",10.5808971,32.1359505,2,"Good"
1292,"2023-12-12",-0.0392909921060312,7.54066460857592,"IDPs","Second","rms",10.4349931,32.2466208,1,"Poor"
1293,"2023-12-12",-0.0418948135431255,6.44806310784339,"IDPs","Poorest","rms",10.4347897,32.2474135,3,"Good"
1294,"2023-12-12",-0.0073650434272936,20.9372589148371,"IDPs","Middle","rms",10.4354694,32.2449493,1,"Poor"
1295,"2023-12-12",0.00398161440733874,25.6984822467459,"IDPs","Fourth","rms",10.434621,32.2482606,2,"Good"
1296,"2023-12-12",-0.0163438038728111,17.1696399077374,"IDPs","Middle","rms",10.4339397,32.2491197,0,"Poor"
1297,"2023-12-12",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.4332134,32.2467788,2,"Good"
1298,"2023-12-12",-0.00184395485577864,23.2539883084034,"IDPs","Fourth","rms",10.4348489,32.245395,2,"Good"
1299,"2023-12-12",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.4337135,32.2474015,2,"Good"
1300,"2023-12-11",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.5815348,32.1363152,2,"Good"
1301,"2023-12-11",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.5814847,32.1343069,2,"Good"
1302,"2023-12-12",0.00127717356705017,24.5636593750059,"IDPs","Fourth","rms",10.4331941,32.2468749,2,"Good"
1303,"2023-12-12",-0.00184395485577864,23.2539883084034,"IDPs","Fourth","rms",10.4350746,32.2446982,2,"Good"
1304,"2023-12-12",-0.016545621717516,17.0849541927886,"IDPs","Middle","rms",10.4329443,32.2475674,2,"Good"
1305,"2023-12-12",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.433426,32.2469234,2,"Good"
1306,"2023-12-12",-0.0122336392243524,18.8943250183167,"IDPs","Middle","rms",10.4340248,32.2464333,1,"Poor"
1307,"2023-12-12",0.00418343225204369,25.7831679616947,"IDPs","Fourth","rms",10.4331104,32.2480002,0,"Poor"
1308,"2023-12-12",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.4336894,32.2470298,2,"Good"
1309,"2023-12-12",-0.0101672229821664,19.7614234510994,"IDPs","Middle","rms",10.4316248,32.2487828,2,"Good"
1310,"2023-12-12",-0.0163438038728111,17.1696399077374,"IDPs","Middle","rms",10.4338195,32.2485798,0,"Poor"
1311,"2023-12-12",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.4340419,32.2478505,2,"Good"
1312,"2023-12-12",-0.0200184167715787,15.6277186720458,"IDPs","Second","rms",10.4336023,32.2489518,2,"Good"
1313,"2023-12-12",-0.0101672229821664,19.7614234510994,"IDPs","Middle","rms",10.4314531,32.2491226,2,"Good"
1314,"2023-12-12",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.4345042,32.2475945,2,"Good"
1315,"2023-12-12",0.00127717356705017,24.5636593750059,"IDPs","Fourth","rms",10.432746,32.2485899,2,"Good"
1316,"2023-12-12",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.4326043,32.2491764,2,"Good"
1317,"2023-12-12",0.00358704038872341,25.5329132262488,"IDPs","Fourth","rms",10.4320624,32.2490489,2,"Good"
1318,"2023-12-11",-0.0426592749167977,6.12728395139771,"IDPs","Poorest","rms",10.581547,32.1342521,1,"Poor"
1319,"2023-12-11",-0.0426592749167977,6.12728395139771,"IDPs","Poorest","rms",10.5816386,32.1341552,1,"Poor"
1320,"2023-12-11",-0.0418948135431255,6.44806310784339,"IDPs","Poorest","rms",10.5806913,32.1340271,3,"Good"
1321,"2023-12-11",-0.0472680334042507,4.19338158460394,"IDPs","Poorest","rms",10.5797888,32.1346527,2,"Good"
1322,"2023-12-11",-0.0472680334042507,4.19338158460394,"IDPs","Poorest","rms",10.5796119,32.1345598,2,"Good"
1323,"2023-12-12",-0.0472680334042507,4.19338158460394,"IDPs","Poorest","rms",10.427116,32.2530286,2,"Good"
1324,"2023-12-12",-0.0426592749167977,6.12728395139771,"IDPs","Poorest","rms",10.4272338,32.2529048,1,"Poor"
1325,"2023-12-12",-0.0329258522658441,10.211570240846,"IDPs","Second","rms",10.4269361,32.2527604,1,"Poor"
1326,"2023-12-12",-0.0375346107532972,8.27766787405225,"IDPs","Second","rms",10.42671,32.2527846,2,"Good"
1327,"2023-12-12",-0.0397339015323496,7.35481334512518,"IDPs","Second","rms",10.4253871,32.2547105,2,"Good"
1328,"2023-12-12",-0.0426592749167977,6.12728395139771,"IDPs","Poorest","rms",10.4279831,32.256411,1,"Poor"
1329,"2023-12-12",-0.0426592749167977,6.12728395139771,"IDPs","Poorest","rms",10.4258122,32.2537369,1,"Poor"
1330,"2023-12-12",-0.0397339015323496,7.35481334512518,"IDPs","Second","rms",10.4258779,32.2536593,2,"Good"
1331,"2023-12-12",-0.0472680334042507,4.19338158460394,"IDPs","Poorest","rms",10.4256186,32.2546261,2,"Good"
1332,"2023-12-12",-0.0351251430448965,9.28871571191895,"IDPs","Second","rms",10.428001,32.2560847,1,"Poor"
1333,"2023-12-12",-0.0255471136609052,13.3077967172153,"IDPs","Second","rms",10.4295283,32.2536252,1,"Poor"
1334,"2023-12-12",-0.0253916366327039,13.3730371488064,"IDPs","Second","rms",10.4305538,32.2541514,1,"Poor"
1335,"2023-12-12",-0.012605492630455,18.7382898986375,"IDPs","Middle","rms",10.4304359,32.2551019,0,"Poor"
1336,"2023-12-12",-0.012605492630455,18.7382898986375,"IDPs","Middle","rms",10.4319556,32.2581837,0,"Poor"
1337,"2023-12-12",-0.0160782876845176,17.2810543778947,"IDPs","Middle","rms",10.4307868,32.2554967,0,"Poor"
1338,"2023-12-12",0.00919238199961599,27.8849964255538,"IDPs","Fourth","rms",10.430193,32.2562418,0,"Poor"
1339,"2023-12-12",-0.0207828781452509,15.3069395156001,"IDPs","Second","rms",10.4317572,32.2572211,0,"Poor"
1340,"2023-12-12",-0.012605492630455,18.7382898986375,"IDPs","Middle","rms",10.4321209,32.2577644,0,"Poor"
1341,"2023-12-12",-0.0207828781452509,15.3069395156001,"IDPs","Second","rms",10.4312486,32.2567894,0,"Poor"
1342,"2023-12-12",-0.00850074541982798,20.4607017731874,"IDPs","Middle","rms",10.4299689,32.2564594,1,"Poor"
1345,"2023-12-13",0.00285633388907966,25.2262981078954,"IDPs","Fourth","rms",6.0556785,31.4962755,0,"Poor"
1346,"2023-12-13",0.0279293994815816,35.7473225929322,"IDPs","Richest","rms",6.0517386,31.5029188,0,"Poor"
1347,"2023-12-13",-0.0329258522658441,10.211570240846,"IDPs","Second","rms",6.0555772,31.4968212,1,"Poor"
1348,"2023-12-13",0.0425876596459934,41.8981426244458,"IDPs","Richest","rms",6.0543482,31.4965727,0,"Poor"
1349,"2023-12-13",0.0528554724569206,46.2066668291543,"Refugee returnees","Richest","rms",9.5901902,29.6216561,3,"Good"
1350,"2023-12-12",-0.0168836749170703,16.9431021333891,"Refugee returnees","Middle","rms",9.591769,29.6221653,1,"Poor"
1359,"2023-12-12",-0.0376033972067899,8.24880407362203,"Refugee returnees","Second","rms",9.5904339,29.6249299,4,"Good"
1360,"2023-12-12",-0.0046905436953676,22.0595180602538,"Refugee returnees","Middle","rms",9.5907956,29.6225185,2,"Good"
1361,"2023-12-12",-0.0122542053811805,18.8856951585672,"Refugee returnees","Middle","rms",9.5910106,29.6227834,3,"Good"
1368,"2023-12-11",-0.0148474117915745,17.7975478780581,"IDPs","Middle","rms",9.2506509,29.8316696,1,"Poor"
1374,"2023-12-11",0.0339398320026856,38.2693878540348,"IDPs","Richest","rms",9.2507619,29.8316403,1,"Poor"
1378,"2023-12-11",0.0452402571314368,43.011211267382,"IDPs","Richest","rms",9.2507027,29.8311662,0,"Poor"
1382,"2023-12-13",0.0269532318515962,35.3377083996184,"Refugee returnees","Richest","rms",9.5880651,29.6225162,0,"Poor"
1383,"2023-12-12",0.0363465969185999,39.2793015607031,"Refugee returnees","Richest","rms",9.5900296,29.6239168,1,"Poor"
1385,"2023-12-11",-0.0108770093034662,19.4635867450935,"IDPs","Middle","rms",9.2505702,29.8309421,1,"Poor"
1386,"2023-12-12",0.00354648687434934,25.5158963793814,"Refugee returnees","Fourth","rms",9.5905135,29.6231803,1,"Poor"
1389,"2023-12-12",0.056108270856749,47.5715885409899,"Refugee returnees","Richest","rms",9.5904393,29.6226539,2,"Good"
1390,"2023-12-11",-0.00823625601104989,20.5716853916652,"IDPs","Middle","rms",9.2504377,29.8305992,1,"Poor"
1393,"2023-12-12",0.0452930789112274,43.0333760575816,"Refugee returnees","Richest","rms",9.5907204,29.6225218,0,"Poor"
1394,"2023-12-12",0.0173695080169335,31.3162379196596,"Refugee returnees","Fourth","rms",9.5903854,29.6240431,4,"Good"
