"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source"
1824,"2023-12-12","Refugee returnees",6.7956598,33.1326588,4.25720469687325,"Poorest","rms"
1825,"2023-12-12","Refugee returnees",6.7956614,33.1333864,9.68769787829546,"Second","rms"
1826,"2023-12-14","Refugee returnees",11.7209164,32.8258006,22.9853690300719,"Fourth","rms"
1827,"2023-12-13","Refugee returnees",6.7934186,33.1311332,7.73454720977934,"Second","rms"
1828,"2023-12-14","Refugee returnees",11.7210262,32.8259001,18.7382898986375,"Middle","rms"
1829,"2023-12-13","Refugee returnees",6.7914234,33.1332083,3.96266777114898,"Poorest","rms"
1830,"2023-12-13","IDPs",6.7914721,33.1326322,11.1909255289069,"Second","rms"
1831,"2023-12-14","Refugee returnees",11.7206855,32.8261925,22.9853690300719,"Fourth","rms"
1832,"2023-12-13","Refugee returnees",6.793451,33.1353829,21.1101773222621,"Middle","rms"
1833,"2023-12-14","Refugee returnees",11.7209362,32.8260962,26.4417473491995,"Fourth","rms"
1834,"2023-12-13","Refugee returnees",6.793023,33.134777,21.1101773222621,"Middle","rms"
1835,"2023-12-14","Refugee returnees",11.7204255,32.8265878,51.8027554966212,"Richest","rms"
1836,"2023-12-12","IDPs",6.7935121,33.1263525,24.02582494032,"Fourth","rms"
1837,"2023-12-13","Refugee returnees",6.7900294,33.1342514,16.1964478102278,"Second","rms"
1838,"2023-12-14","Refugee returnees",11.7209382,32.8263578,47.0111939703919,"Richest","rms"
1839,"2023-12-14","Refugee returnees",11.7210549,32.8263743,36.0162693643349,"Richest","rms"
1840,"2023-12-13","Refugee returnees",6.7902904,33.1349591,4.25720469687325,"Poorest","rms"
1841,"2023-12-13","Refugee returnees",6.7930148,33.1356874,9.28871571191895,"Second","rms"
1842,"2023-12-14","Refugee returnees",11.7207397,32.8260993,33.0777730636198,"Richest","rms"
1843,"2023-12-14","Refugee returnees",6.7929349,33.1353203,11.2628305742135,"Second","rms"
1844,"2023-12-14","Refugee returnees",11.7204014,32.8264944,33.0777730636198,"Richest","rms"
1845,"2023-12-14","Refugee returnees",6.804338,33.1277671,9.68769787829546,"Second","rms"
1846,"2023-12-14","Refugee returnees",11.7205225,32.826053,33.0777730636198,"Richest","rms"
1847,"2023-12-14","Refugee returnees",6.8061657,33.1269869,9.28871571191895,"Second","rms"
1848,"2023-12-14","Refugee returnees",6.8068737,33.1268089,7.4190460902766,"Second","rms"
1849,"2023-12-14","Refugee returnees",6.8040974,33.1267833,9.28871571191895,"Second","rms"
1850,"2023-12-14","Refugee returnees",6.8029048,33.128059,18.4683712761214,"Middle","rms"
1851,"2023-12-14","Refugee returnees",6.8033519,33.1290156,8.59192494194344,"Second","rms"
1852,"2023-12-14","Refugee returnees",6.7987418,33.1267321,11.2628305742135,"Second","rms"
1853,"2023-12-13","Refugee returnees",6.7916767,33.135197,8.80848002537691,"Second","rms"
1854,"2023-12-13","Refugee returnees",6.7917152,33.1357413,17.6478722885238,"Middle","rms"
1855,"2023-12-13","Refugee returnees",6.7925919,33.1356515,6.82788245806439,"Poorest","rms"
1856,"2023-12-13","Refugee returnees",6.7925214,33.1360349,10.4673595227062,"Second","rms"
1857,"2023-12-14","Refugee returnees",6.7932687,33.1345725,9.29769169818253,"Second","rms"
1858,"2023-12-14","Refugee returnees",6.7938307,33.1343682,14.2037877168609,"Second","rms"
1859,"2023-12-14","Refugee returnees",6.8047766,33.1269502,19.7839283389276,"Middle","rms"
1860,"2023-12-14","Refugee returnees",6.8047046,33.1270494,10.4673595227062,"Second","rms"
1861,"2023-12-14","Refugee returnees",6.8025761,33.1276214,22.3179207191787,"Fourth","rms"
1862,"2023-12-11","IDPs",6.7940663,33.1252843,17.6320744961942,"Middle","rms"
1863,"2023-12-11","IDPs",6.7940662,33.1252546,22.9049127029229,"Fourth","rms"
1864,"2023-12-13","IDPs",6.7897807,33.1353424,12.0768150917345,"Second","rms"
1865,"2023-12-11","IDPs",6.7931827,33.1255103,32.6653817101604,"Fourth","rms"
1866,"2023-12-11","IDPs",6.7930098,33.1257215,17.0721656772495,"Middle","rms"
1867,"2023-12-11","IDPs",6.7929596,33.1255532,16.7776287515252,"Middle","rms"
1868,"2023-12-11","Refugee returnees",6.7924058,33.1256488,20.5285439963771,"Middle","rms"
1869,"2023-12-11","IDPs",6.7935441,33.1258681,23.1994496286472,"Fourth","rms"
1870,"2023-12-11","IDPs",6.7934991,33.1258793,20.5285439963771,"Middle","rms"
1871,"2023-12-11","Refugee returnees",6.7935235,33.125792,22.1036766922952,"Middle","rms"
1872,"2023-12-12","IDPs",6.79288,33.1263133,3.5668966319157,"Poorest","rms"
1874,"2023-12-12","IDPs",6.7937461,33.1265485,10.3220885536341,"Second","rms"
1875,"2023-12-12","Refugee returnees",6.7952217,33.1315545,6.23780226418578,"Poorest","rms"
1876,"2023-12-12","Refugee returnees",6.7956394,33.132744,10.3220885536341,"Second","rms"
1877,"2023-12-12","Refugee returnees",6.7945525,33.12692,11.1075612404916,"Second","rms"
1878,"2023-12-13","Refugee returnees",6.7933523,33.1323949,12.2033341768436,"Second","rms"
1879,"2023-12-13","Refugee returnees",6.7935764,33.1324279,4.6626695682677,"Poorest","rms"
1880,"2023-12-13","Refugee returnees",6.7942797,33.1341004,26.7373125904644,"Fourth","rms"
1881,"2023-12-13","Refugee returnees",6.7942929,33.1344237,10.3220885536341,"Second","rms"
1882,"2023-12-13","Refugee returnees",6.7941422,33.1347117,13.7784668727617,"Second","rms"
1883,"2023-12-13","Refugee returnees",6.7898902,33.1351057,9.53242854457354,"Second","rms"
1884,"2023-12-13","Refugee returnees",6.7926486,33.1362149,7.65118292136399,"Second","rms"
1885,"2023-12-13","Refugee returnees",6.7916526,33.1357838,10.3220885536341,"Second","rms"
1886,"2023-12-14","Refugee returnees",6.793697,33.1344936,13.7784668727617,"Second","rms"
1887,"2023-12-14","Refugee returnees",6.8064993,33.1268076,9.53242854457354,"Second","rms"
1888,"2023-12-14","Refugee returnees",6.7939087,33.1345884,13.7784668727617,"Second","rms"
1889,"2023-12-14","Refugee returnees",6.8052929,33.1267325,1.69722701027335,"Poorest","rms"
