"id","interviewdate","pop_groups","lat","lon","wealth_index","wealth_category","data_source","living_conditions_score","living_conditions_category"
344,"2023-06-13","host community member",9.9511997,30.2724348,2.59681684356703,"Poorest","fds",1,"Poor"
345,"2023-04-29","host community member",9.9444249,33.8233111,19.4340707387474,"Middle","fds",0,"Poor"
346,"2023-04-24","refugee",9.9898152,33.7566405,34.9038167001525,"Richest","fds",2,"Good"
347,"2023-05-06","refugee",9.9735399,30.2749163,26.7989266065236,"Fourth","fds",3,"Good"
348,"2023-07-29","refugee",9.9932676,33.7630341,19.9919581433723,"Middle","fds",3,"Good"
349,"2023-05-03","host community member",9.9473319,33.8199925,19.4340707387474,"Middle","fds",0,"Poor"
350,"2023-08-09","refugee",9.9937504,33.7489226,17.0945677780803,"Middle","fds",2,"Good"
351,"2023-08-04","refugee",9.9949382,33.7592394,11.774476688647,"Second","fds",2,"Good"
352,"2023-08-04","host community member",9.9388567,30.2874719,1.82465575936548,"Poorest","fds",1,"Poor"
353,"2023-08-14","refugee",9.9795366,33.6100086,33.7058292795436,"Richest","fds",3,"Good"
354,"2023-05-18","refugee",9.9855088,33.737156,4.11254677583147,"Poorest","fds",2,"Good"
355,"2023-05-06","refugee",4.7578797,28.6992885,45.2787744812319,"Richest","fds",1,"Poor"
356,"2023-04-19","refugee",7.1777386,34.0966772,9.15452127181912,"Second","fds",2,"Good"
357,"2023-08-18","host community member",9.9176002,29.9800007,6.40220429494466,"Poorest","fds",3,"Good"
358,"2023-07-08","refugee",9.9778174,33.5711202,12.3394068301416,"Second","fds",2,"Good"
359,"2023-07-11","refugee",9.9783695,33.5722548,8.83459290048889,"Second","fds",2,"Good"
360,"2023-06-21","refugee",4.7534581,28.6977006,16.5869697695897,"Middle","fds",3,"Good"
361,"2023-05-01","refugee",4.5698049,28.3933199,22.5241723047867,"Fourth","fds",2,"Good"
362,"2023-06-12","host community member",9.9200126,29.9761263,3.34038569162993,"Poorest","fds",2,"Good"
363,"2023-07-27","refugee",10.007619,33.7641315,5.93720253519696,"Poorest","fds",1,"Poor"
364,"2023-08-08","refugee",10.0130122,33.7708748,10.6592486598544,"Second","fds",1,"Poor"
365,"2023-08-24","refugee",9.9627207,33.5637936,4.11254677583147,"Poorest","fds",2,"Good"
366,"2023-06-15","host community member",9.9197127,29.9815312,29.5274682011617,"Fourth","fds",2,"Good"
367,"2023-11-10","refugee",4.7579002,31.443978,34.8582101917583,"Richest","fds",2,"Good"
368,"2023-07-21","host community member",9.9852232,33.8785458,7.63879133955467,"Poorest","fds",1,"Poor"
369,"2023-09-04","host community member",10.0790177,33.54993,0,"Poorest","fds",2,"Good"
370,"2023-08-02","host community member",9.9308283,30.2945755,8.22686005431014,"Second","fds",2,"Good"
371,"2023-08-25","refugee",9.9800701,33.5791141,22.5918478321474,"Fourth","fds",2,"Good"
372,"2023-04-27","host community member",9.9840128,33.8846246,55.0186998417662,"Richest","fds",1,"Poor"
